compte_courant,duree_mois,historique_credit,objectif_credit,montant_credit,epargne,emploi_depuis,taux_remboursement,statut_personnel,garants,residence_depuis,patrimoine,age,autres_credits,logement,nb_credits_banque,emploi,personnes_a_charge,telephone,travailleur_etranger,classe
Pas de compte,15,Retards de paiement passés,Meubles/Équipement,960,>= 1000 DM,4-7 ans,3,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,30,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Voiture (neuve),1163,500-1000 DM,1-4 ans,4,Homme célibataire,Aucun,4,Immobilier,44,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,6,Retards de paiement passés,Voiture (neuve),1209,< 100 DM,Sans emploi,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,47,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,3077,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,4,Voiture ou autre,52,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),3757,< 100 DM,>= 7 ans,4,Femme divorcée/mariée,Co-demandeur,4,Aucun patrimoine,62,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,10,Crédits en cours remboursés,Voiture (neuve),1418,100-500 DM,1-4 ans,3,Homme célibataire,Aucun,2,Immobilier,35,Aucun,Location,1,Non qualifié (résident),1,Non,Non,Bon client
Pas de compte,6,Crédits en cours remboursés,Voiture (neuve),3518,< 100 DM,1-4 ans,2,Homme célibataire,Garant,3,Épargne logement/Assurance vie,26,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,1934,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,2,Aucun patrimoine,26,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,27,Aucun crédit / tous remboursés,Business,8318,< 100 DM,>= 7 ans,2,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,42,Aucun,Gratuit,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,6,Compte critique / autres crédits,Radio/Télévision,1237,100-500 DM,1-4 ans,1,Femme divorcée/mariée,Aucun,1,Épargne logement/Assurance vie,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,6,Crédits en cours remboursés,Radio/Télévision,368,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,38,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),12,Compte critique / autres crédits,Voiture (neuve),2122,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,2,Immobilier,39,Aucun,Location,2,Non qualifié (résident),2,Non,Non,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Meubles/Équipement,2996,Pas d'épargne,1-4 ans,2,Homme marié/veuf,Aucun,4,Voiture ou autre,20,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,36,Crédits en cours remboursés,Meubles/Équipement,9034,100-500 DM,< 1 an,4,Homme célibataire,Co-demandeur,1,Aucun patrimoine,29,Aucun,Location,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Meubles/Équipement,1585,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,40,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Radio/Télévision,1301,< 100 DM,>= 7 ans,4,Homme marié/veuf,Garant,2,Immobilier,32,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
>= 200 DM,6,Compte critique / autres crédits,Voiture (neuve),1323,100-500 DM,>= 7 ans,2,Homme divorcé/séparé,Aucun,4,Voiture ou autre,28,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Voiture (neuve),3123,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,1,Épargne logement/Assurance vie,27,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),36,Crédits en cours remboursés,Voiture (occasion),5493,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Aucun patrimoine,42,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
>= 200 DM,9,Crédits en cours remboursés,Radio/Télévision,1126,100-500 DM,>= 7 ans,2,Homme divorcé/séparé,Aucun,4,Immobilier,49,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,24,Compte critique / autres crédits,Radio/Télévision,1216,100-500 DM,< 1 an,4,Homme célibataire,Aucun,4,Aucun patrimoine,38,Banque,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Voiture (neuve),1207,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,24,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,10,Crédits en cours remboursés,Voiture (neuve),1309,Pas d'épargne,1-4 ans,4,Homme célibataire,Garant,4,Épargne logement/Assurance vie,27,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
>= 200 DM,15,Compte critique / autres crédits,Voiture (occasion),2360,500-1000 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,36,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,15,Tous crédits remboursés ici,Voiture (neuve),6850,100-500 DM,Sans emploi,1,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,34,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,1413,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,2,Épargne logement/Assurance vie,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,39,Crédits en cours remboursés,Voiture (occasion),8588,100-500 DM,>= 7 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,45,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Voiture (neuve),759,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,2,Immobilier,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,36,Crédits en cours remboursés,Voiture (occasion),4686,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Aucun patrimoine,32,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
>= 200 DM,15,Crédits en cours remboursés,Business,2687,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,26,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,12,Retards de paiement passés,Radio/Télévision,585,< 100 DM,1-4 ans,4,Homme marié/veuf,Co-demandeur,4,Immobilier,20,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),2255,Pas d'épargne,< 1 an,4,Homme célibataire,Aucun,1,Épargne logement/Assurance vie,54,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),6,Compte critique / autres crédits,Voiture (neuve),609,< 100 DM,4-7 ans,4,Femme divorcée/mariée,Aucun,3,Épargne logement/Assurance vie,37,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Non,Bon client
< 0 DM (découvert),6,Compte critique / autres crédits,Voiture (neuve),1361,< 100 DM,< 1 an,2,Homme célibataire,Aucun,4,Immobilier,40,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Non,Bon client
Pas de compte,36,Compte critique / autres crédits,Meubles/Équipement,7127,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,23,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),6,Crédits en cours remboursés,Voiture (neuve),1203,100-500 DM,>= 7 ans,3,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,43,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,6,Compte critique / autres crédits,Radio/Télévision,700,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,36,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Compte critique / autres crédits,Réparations,5507,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,44,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Radio/Télévision,3190,< 100 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,2,Immobilier,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),48,Aucun crédit / tous remboursés,Meubles/Équipement,7119,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,53,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Voiture (occasion),3488,100-500 DM,4-7 ans,3,Femme divorcée/mariée,Aucun,4,Voiture ou autre,23,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Radio/Télévision,1113,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Garant,4,Immobilier,26,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
0-200 DM,26,Crédits en cours remboursés,Voiture (occasion),7966,< 100 DM,< 1 an,2,Homme célibataire,Aucun,3,Voiture ou autre,30,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Éducation,1532,100-500 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,3,Voiture ou autre,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,4,Compte critique / autres crédits,Radio/Télévision,1503,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,1,Immobilier,42,Aucun,Propriétaire,2,Non qualifié (résident),2,Non,Oui,Bon client
< 0 DM (découvert),36,Crédits en cours remboursés,Radio/Télévision,2302,< 100 DM,1-4 ans,4,Homme divorcé/séparé,Aucun,4,Voiture ou autre,31,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),6,Crédits en cours remboursés,Voiture (neuve),662,< 100 DM,< 1 an,3,Homme célibataire,Aucun,4,Immobilier,41,Aucun,Propriétaire,1,Non qualifié (résident),2,Oui (à son nom),Oui,Bon client
0-200 DM,36,Crédits en cours remboursés,Éducation,2273,< 100 DM,4-7 ans,3,Homme célibataire,Aucun,1,Voiture ou autre,32,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
0-200 DM,15,Crédits en cours remboursés,Voiture (neuve),2631,100-500 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,28,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,12,Retards de paiement passés,Voiture (occasion),1503,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,4,Immobilier,41,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,1311,100-500 DM,4-7 ans,4,Homme marié/veuf,Aucun,3,Épargne logement/Assurance vie,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,3105,Pas d'épargne,< 1 an,4,Homme célibataire,Aucun,2,Voiture ou autre,25,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
>= 200 DM,21,Compte critique / autres crédits,Éducation,2319,< 100 DM,< 1 an,2,Homme divorcé/séparé,Aucun,1,Voiture ou autre,33,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),6,Crédits en cours remboursés,Voiture (neuve),1374,Pas d'épargne,Sans emploi,4,Femme divorcée/mariée,Aucun,3,Épargne logement/Assurance vie,75,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,18,Compte critique / autres crédits,Meubles/Équipement,3612,< 100 DM,>= 7 ans,3,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,37,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),48,Crédits en cours remboursés,Voiture (neuve),7763,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,42,Banque,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Non,Oui,Mauvais client
>= 200 DM,18,Crédits en cours remboursés,Meubles/Équipement,3049,< 100 DM,< 1 an,1,Femme divorcée/mariée,Aucun,1,Épargne logement/Assurance vie,45,Magasins,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,1534,< 100 DM,< 1 an,1,Homme marié/veuf,Aucun,1,Immobilier,23,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Retards de paiement passés,Voiture (neuve),2032,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,60,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),30,Crédits en cours remboursés,Meubles/Équipement,6350,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
>= 200 DM,18,Crédits en cours remboursés,Meubles/Équipement,2864,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,1,Immobilier,34,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Mauvais client
Pas de compte,12,Compte critique / autres crédits,Voiture (neuve),1255,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,61,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),24,Retards de paiement passés,Voiture (neuve),1333,< 100 DM,Sans emploi,4,Homme célibataire,Aucun,2,Immobilier,43,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Voiture (neuve),2022,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Voiture ou autre,37,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,1552,< 100 DM,4-7 ans,3,Homme célibataire,Aucun,1,Voiture ou autre,32,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
< 0 DM (découvert),12,Tous crédits remboursés ici,Radio/Télévision,626,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Immobilier,24,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,48,Compte critique / autres crédits,Voiture (occasion),8858,Pas d'épargne,4-7 ans,2,Homme célibataire,Aucun,1,Aucun patrimoine,35,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Réparations,996,Pas d'épargne,4-7 ans,4,Femme divorcée/mariée,Aucun,4,Immobilier,23,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,6,Tous crédits remboursés ici,Radio/Télévision,1750,500-1000 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,45,Banque,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
< 0 DM (découvert),48,Crédits en cours remboursés,Radio/Télévision,6999,< 100 DM,4-7 ans,1,Homme marié/veuf,Garant,1,Immobilier,34,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,12,Compte critique / autres crédits,Voiture (neuve),1995,100-500 DM,< 1 an,4,Homme célibataire,Aucun,1,Voiture ou autre,27,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,9,Crédits en cours remboursés,Éducation,1199,< 100 DM,4-7 ans,4,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,67,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,1331,< 100 DM,< 1 an,2,Homme célibataire,Aucun,1,Voiture ou autre,22,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,18,Aucun crédit / tous remboursés,Voiture (neuve),2278,100-500 DM,< 1 an,3,Femme divorcée/mariée,Aucun,3,Voiture ou autre,28,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,21,Aucun crédit / tous remboursés,Voiture (neuve),5003,Pas d'épargne,1-4 ans,1,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,29,Banque,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),24,Tous crédits remboursés ici,Meubles/Équipement,3552,< 100 DM,4-7 ans,3,Homme célibataire,Aucun,4,Voiture ou autre,27,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,18,Compte critique / autres crédits,Meubles/Équipement,1928,< 100 DM,< 1 an,2,Homme célibataire,Aucun,2,Immobilier,31,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Voiture (occasion),2964,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,49,Banque,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),24,Tous crédits remboursés ici,Radio/Télévision,1546,< 100 DM,4-7 ans,4,Homme célibataire,Garant,4,Voiture ou autre,24,Banque,Location,1,Non qualifié (résident),1,Non,Oui,Mauvais client
>= 200 DM,6,Retards de paiement passés,Radio/Télévision,683,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,1,Épargne logement/Assurance vie,29,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,36,Crédits en cours remboursés,Voiture (neuve),12389,Pas d'épargne,1-4 ans,1,Homme célibataire,Aucun,4,Aucun patrimoine,37,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,24,Retards de paiement passés,Business,4712,Pas d'épargne,1-4 ans,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,37,Banque,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,24,Retards de paiement passés,Radio/Télévision,1553,100-500 DM,4-7 ans,3,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,23,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Voiture (neuve),1372,< 100 DM,4-7 ans,2,Homme divorcé/séparé,Aucun,3,Voiture ou autre,36,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Radio/Télévision,2578,>= 1000 DM,>= 7 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,34,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,48,Crédits en cours remboursés,Radio/Télévision,3979,Pas d'épargne,4-7 ans,4,Homme célibataire,Aucun,1,Voiture ou autre,41,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),48,Crédits en cours remboursés,Radio/Télévision,6758,< 100 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,2,Voiture ou autre,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Meubles/Équipement,3234,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,4,Immobilier,23,Aucun,Location,1,Non qualifié (résident),1,Oui (à son nom),Oui,Mauvais client
Pas de compte,30,Compte critique / autres crédits,Radio/Télévision,5954,< 100 DM,4-7 ans,3,Homme célibataire,Co-demandeur,2,Voiture ou autre,38,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Voiture (occasion),5433,Pas d'épargne,Sans emploi,2,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,26,Aucun,Location,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),15,Crédits en cours remboursés,Business,806,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,22,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,9,Crédits en cours remboursés,Radio/Télévision,1082,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,27,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Meubles/Équipement,2788,< 100 DM,4-7 ans,2,Femme divorcée/mariée,Co-demandeur,3,Voiture ou autre,24,Banque,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,2930,< 100 DM,4-7 ans,2,Femme divorcée/mariée,Aucun,1,Immobilier,27,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Compte critique / autres crédits,Éducation,1927,Pas d'épargne,1-4 ans,3,Femme divorcée/mariée,Aucun,2,Voiture ou autre,33,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,36,Compte critique / autres crédits,Voiture (neuve),2820,< 100 DM,< 1 an,4,Homme divorcé/séparé,Aucun,4,Voiture ou autre,27,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Reconversion pro,937,< 100 DM,< 1 an,4,Homme marié/veuf,Aucun,3,Voiture ou autre,27,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,18,Compte critique / autres crédits,Voiture (neuve),1056,< 100 DM,>= 7 ans,3,Homme célibataire,Garant,3,Immobilier,30,Banque,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,12,Compte critique / autres crédits,Voiture (neuve),3124,< 100 DM,< 1 an,1,Homme célibataire,Aucun,3,Immobilier,49,Banque,Propriétaire,2,Non qualifié (résident),2,Non,Oui,Bon client
Pas de compte,9,Crédits en cours remboursés,Meubles/Équipement,1388,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,2,Immobilier,26,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,36,Crédits en cours remboursés,Réparations,2384,< 100 DM,< 1 an,4,Homme célibataire,Aucun,1,Aucun patrimoine,33,Aucun,Location,1,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Voiture (neuve),2133,Pas d'épargne,>= 7 ans,4,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,52,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Meubles/Équipement,2039,< 100 DM,1-4 ans,1,Femme divorcée/mariée,Aucun,4,Immobilier,20,Banque,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),9,Compte critique / autres crédits,Voiture (neuve),2799,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Immobilier,36,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Meubles/Équipement,1289,< 100 DM,1-4 ans,4,Homme célibataire,Garant,1,Épargne logement/Assurance vie,21,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Électroménager,1217,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,3,Immobilier,47,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),12,Compte critique / autres crédits,Meubles/Équipement,2246,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,60,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),12,Compte critique / autres crédits,Radio/Télévision,385,< 100 DM,4-7 ans,4,Femme divorcée/mariée,Aucun,3,Immobilier,58,Aucun,Propriétaire,4,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
0-200 DM,24,Retards de paiement passés,Voiture (neuve),1965,Pas d'épargne,1-4 ans,4,Femme divorcée/mariée,Aucun,4,Voiture ou autre,42,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,21,Crédits en cours remboursés,Business,1572,>= 1000 DM,>= 7 ans,4,Femme divorcée/mariée,Aucun,4,Immobilier,36,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
